,식이섬유,칼륨,베타카로틴,비타민K,엽산,비타민C
청피망,2.3,190,400,20,26,76
붉은양파,1.7,150,0,0,23,7
적피망,1.6,210,940,7,68,170
아스파라거스,1.8,270,370,43,190,15
알로에,0.4,43,1,0,4,1
두릅,1.4,220,0,2,19,4
풋콩,5,590,240,30,320,27
아욱,5,260,670,71,110,11
일본무,1.9,99,1900,200,96,47
순무,1.5,280,0,0,48,19
꽃배추,2.9,410,18,17,94,81
황피망,1.3,200,160,3,54,150
양배추,1.8,200,49,78,78,41
오이,1.1,200,330,34,25,14
우엉,5.7,320,1,0,68,3
소송채,1.9,500,3100,210,110,39
강낭콩,2.4,260,520,60,50,8
완두콩,3,200,560,47,73,60
푸른고추,3.6,340,530,51,33,57
시소,7.3,500,11000,690,110,26
쑥갓,3.2,460,4500,250,190,19
생강,2.1,270,4,0,8,2
옥수수,3,290,22,1,95,8
애호박,1.3,320,310,35,36,20
서양호박,3.5,450,3900,25,42,43
셀러리,1.5,410,44,10,29,7
누에콩,2.6,440,240,18,120,23
무,4,400,3900,270,140,53
갓,2.5,300,2300,120,180,69
죽순,2.8,520,11,2,63,10
양파,1.6,150,1,0,16,8
청경채,1.2,260,2000,84,66,24
고추,10.3,760,6600,27,41,120
토마토,1,210,540,4,22,15
가지,2.2,220,100,10,32,4
여주,2.6,260,160,41,72,76
부추,2.7,510,3500,180,100,19
당근,2.8,300,6900,17,21,6
마늘,6.2,510,2,0,93,12
파,2.5,200,82,8,72,14
노자와,2,390,1200,100,110,41
배추,1.3,220,92,59,61,19
바질,4,420,6300,440,69,16
파슬리,6.8,1000,7400,850,220,120
머위,1.3,330,49,6,12,2
머위꽃줄기,6.4,740,390,92,160,14
브로콜리,4.4,360,800,160,210,120
시금치,2.8,690,4200,270,210,35
경수채,3,480,1300,120,140,55
방울토마토,1.4,290,960,7,35,32
양하,2.1,210,27,20,25,2
방울양배추,5.5,610,710,150,240,160
멜로키아,5.9,530,10000,640,250,65
락교,20.7,230,0,1,29,23
초나물,1.3,69,3,3,41,8
루콜라,2.6,480,3600,210,170,66
양상치,1.1,200,240,29,73,5
붉은양배추,2.8,310,36,29,58,68
연근,2,440,3,0,14,48
고사리,3.6,370,210,17,130,11
