도시,월,일,계절,오전날씨,오후날씨,기온,풍속,강수량
가고시마,1,1,겨울,쾌청,쾌청,7.8,2.6,0
가고시마,1,2,겨울,흐림,비,11.7,2.3,9.5
가고시마,1,3,겨울,흐림,맑음,15.3,2,0.5
가고시마,1,4,겨울,다소흐림,맑음,14,3.2,0
가고시마,1,5,겨울,흐림,흐림,13.8,3.6,2
가고시마,1,6,겨울,비,비,11.4,3.6,14.5
가고시마,1,7,겨울,맑음,흐림,10,3.6,0
가고시마,1,8,겨울,비,비,8.9,2.7,0.5
가고시마,1,9,겨울,흐림,맑음,8.2,3.1,0
가고시마,1,10,겨울,흐림,흐림,8.9,3,0
가고시마,1,11,겨울,비,비,8.9,2.5,6
가고시마,1,12,겨울,맑음,흐림,8.5,3.2,2
가고시마,1,13,겨울,흐림,흐림,7.2,2.8,1
가고시마,1,14,겨울,흐림,흐림,7.4,2.7,0.5
가고시마,1,15,겨울,흐림,흐림,7.2,2.6,0
가고시마,1,16,겨울,쾌청,쾌청,8.8,3,0
가고시마,1,17,겨울,흐림,비,11.6,3.6,14
가고시마,1,18,겨울,비,맑음,10.5,6.5,2
가고시마,1,19,겨울,진눈깨비,맑음,5.9,7.2,3
가고시마,1,20,겨울,맑음,맑음,5,4.7,0
가고시마,1,21,겨울,흐림,비,5.1,3,0
가고시마,1,22,겨울,맑음,흐림,7.7,3.2,0
가고시마,1,23,겨울,흐림,흐림,7.3,4.4,0
가고시마,1,24,겨울,눈,눈,-0.4,4.9,16
가고시마,1,25,겨울,흐림,흐림,0.7,2.5,0
가고시마,1,26,겨울,맑음,비,5.1,2.2,0.5
가고시마,1,27,겨울,흐림,흐림,8.5,2.2,0
가고시마,1,28,겨울,흐림,흐림,12.2,2.1,1
가고시마,1,29,겨울,비,비,15.6,2.3,85.5
가고시마,1,30,겨울,흐림,다소흐림,14.2,3.1,0.5
가고시마,1,31,겨울,쾌청,맑음,11.3,3.4,0
가고시마,2,1,겨울,비,비,8.5,2.9,0
가고시마,2,2,겨울,흐림,다소흐림,7.4,4.1,0
가고시마,2,3,겨울,맑음,맑음,7,3.8,0
가고시마,2,4,겨울,맑음,맑음,7.7,3.8,0
가고시마,2,5,겨울,다소흐림,다소흐림,8.9,3,0
가고시마,2,6,겨울,흐림,맑음,7,4.3,0
가고시마,2,7,겨울,맑음,맑음,6.9,3.3,0
가고시마,2,8,겨울,쾌청,맑음,7.2,3.4,0
가고시마,2,9,겨울,흐림,쾌청,10.8,4.3,0
가고시마,2,10,겨울,쾌청,맑음,9.9,3.2,0
가고시마,2,11,겨울,쾌청,다소흐림,12,3.1,0
